ID,dia_1,dia_2,dia_3,dia_4,dia_5,dia_6,dia_7,dia_8,dia_9,dia_10,dia_11,dia_12,dia_13,dia_14,dia_15,dia_16,dia_17,dia_18,dia_19,dia_20,dia_21,dia_22,dia_23,dia_24,dia_25,dia_26,dia_27,dia_28,dia_29,dia_30,dia_31,dia_32,dia_33,dia_34,dia_35,dia_36,dia_37,dia_38,dia_39,dia_40,dia_41,dia_42,dia_43,dia_44,dia_45,dia_46,dia_47,dia_48,dia_49,dia_50,dia_51,dia_52,dia_53,dia_54,dia_55,dia_56,dia_57,dia_58,dia_59,dia_60,dia_61,dia_62,dia_63,dia_64,dia_65,dia_66,dia_67,dia_68,dia_69,dia_70,dia_71,dia_72,dia_73,dia_74,dia_75,dia_76,dia_77,dia_78,dia_79,dia_80,dia_81,dia_82,dia_83,dia_84,dia_85,dia_86,dia_87,dia_88,dia_89,dia_90,pago,fecha,monto
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,-102.0,0.0,0.0,0.0,0.0,0.0,-488.43,0.0,0.0,0.0,0.0,-20.0,-5743.11,NO,2019-04-16 10:55:50.111,150.0
2,20323.83,0.0,0.0,1149.58,-807.3699999999999,1240.9700000000005,1189.47,-11766.97,0.0,0.0,-277.23,1911.71,-3333.63,1351.12,-994.11,0.0,0.0,-2584.2,1490.1,1497.91,909.02,-2552.57,0.0,0.0,1369.02,-2527.99,1349.96,-2708.84,-948.15,0.0,0.0,1751.82,1523.25,2105.0,1785.6,526.27,0.0,0.0,299.15,496.21,496.21,-406.0,-165.15999999999997,0.0,0.0,663.25,-2465.81,1048.56,151.26,2024.87,0.0,0.0,-1123.04,1490.23,1470.19,1744.23,0.0,0.0,0.0,-270.07,1590.93,-7581.79,-3303.890000000001,1256.7,0.0,0.0,1224.79,-1671.22,1303.49,-3220.9700000000007,1509.8,0.0,0.0,-1490.2,1509.8,0.0,0.0,-3034.03,0.0,0.0,1323.34,1323.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO,2019-04-16 16:15:32.991,100.0
3,0.0,0.0,-7.15,-7.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,NO,2019-04-29 17:47:37.833,100.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.34,-138.75,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,NO,2019-04-29 20:28:54.543,100.0
6,17.020000000000007,188.69,-62.19000000000001,288.53,0.0,0.0,-266.58,-6.9700000000000015,103.49,-41.82,-831.4399999999998,0.0,0.0,288.96,87.07,63.04,-630.05,960.54,0.0,0.0,32.29000000000002,14.700000000000005,-365.65,-261.43,18.390000000000033,0.0,0.0,304.5,212.35,27.61,-310.73,524.4799999999998,0.0,0.0,-230.03,6.25,84.02999999999996,-115.45,395.57,0.0,0.0,35.59999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-48.09,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO,2019-05-03 14:46:39.028,900.0
8,31.21,-32.0,-254.62999999999988,0.0,-15.4,-12.0,-154.78,-27.11,-8.52,-54.18999999999999,0.0,-3.27,-125.29,-38.73,285.33,300.0,-141.25,0.0,47.61,-103.28,-31.06,75.0,995.89,-239.92,0.0,-22.49,91.13,17.889999999999993,81.89,-80.0,1196.73,0.0,-2.75,-159.85,-11.65,-42.17,-107.54,-114.93,0.0,-72.95,-56.04,191.44,-124.78,-109.11,-48.64,0.0,-159.13,48.47,-18.86,0.0,-50.29,-149.8599999999999,0.0,27.98,1234.09,-79.85000000000002,-34.78,181.83,455.47,0.0,-76.55,-353.8400000000001,-25.33,-11.72,-3.8,-336.73,0.0,-74.94999999999997,-27.62999999999989,1269.18,-23.97,0.0,336.3,0.0,-7.130000000000001,-7.540000000000006,-46.1,-49.1,-30.08,-119.85,0.0,-8.22,1319.25,39.26,-31.5,-2.92,-148.42000000000004,0.0,262.76,-79.26,NO,2019-05-09 14:49:58.976,100.0
11,0.0,0.0,810.51,116.02999999999996,-477.61,-1154.93,464.55000000000007,0.0,0.0,178.47,279.84000000000003,-476.4900000000002,-17.050000000000008,254.55999999999997,0.0,0.0,-568.98,263.75,266.57,254.95,-1084.0000000000002,0.0,0.0,-359.35,889.6800000000002,121.47,-193.02,892.3,0.0,0.0,-60.36000000000002,-62.22000000000003,109.23,-70.91,2.500000000000057,0.0,0.0,-10.050000000000011,9.059999999999944,81.26999999999998,-259.8,266.46,0.0,0.0,-191.24999999999997,-29.07,-285.54,-275.64,-326.13,0.0,0.0,-1499.3000000000004,-6.5900000000000025,-16.5,2635.95,0.0,0.0,0.0,-34.25,-15.0,23.31,-144.87,-2.749999999999986,0.0,0.0,-42.34,0.0,-586.06,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO,2019-05-27 21:59:24.760,1637.92
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1102.38,1537.52,0.0,0.0,0.0,810.51,116.02999999999996,-477.61,-1154.93,464.55000000000007,0.0,0.0,178.47,279.84000000000003,-476.4900000000002,-17.050000000000008,254.55999999999997,0.0,0.0,-568.98,263.75,266.57,254.95,-1084.0000000000002,0.0,0.0,-359.35,889.6800000000002,121.47,-193.02,892.3,0.0,0.0,-60.36000000000002,-62.22000000000003,109.23,-70.91,2.500000000000057,0.0,0.0,-10.050000000000011,9.059999999999944,81.26999999999998,-259.8,266.46,0.0,0.0,-191.24999999999997,-29.07,-285.54,-275.64,-326.13,0.0,0.0,-1499.3000000000004,-6.5900000000000025,-16.5,2635.95,0.0,0.0,0.0,-34.25,-15.0,23.31,-144.87,-2.749999999999986,0.0,0.0,NO,2019-06-21 18:16:26.654,2000.0
16,78.0,0.0,0.0,766.95,0.0,-3.2,13.25,0.0,0.0,0.0,0.0,0.0,-389.39,186.36,-324.38,0.0,0.0,600.0,-7.0,-7.0,-7.0,-21.0,0.0,0.0,0.0,0.0,-36.0,-9.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.319999999999998,0.0,0.0,0.0,-53.21,60.0,16.66,0.0,0.0,0.0,-17.05,0.0,-8.0,117.0,-21.0,0.0,0.0,0.0,0.0,-36.0,-59.61,-43.02999999999999,0.0,0.0,-13.9,16.88,-35.0,-9.54,-43.88,0.0,0.0,0.0,-3.120000000000001,0.0,-5.18,-23.5,0.0,0.0,0.0,-29.48,-17.1,-22.82,-9.18,0.0,0.0,-39.32,0.0,75.0,0.0,0.0,0.0,0.0,0.0,-12.82,-36.02,SI,2019-07-09 01:41:58.215,215.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1102.38,1537.52,0.0,0.0,0.0,810.51,116.02999999999996,-477.61,-1154.93,464.55000000000007,0.0,0.0,178.47,279.84000000000003,-476.4900000000002,-17.050000000000008,254.55999999999997,0.0,0.0,-568.98,263.75,266.57,254.95,-1084.0000000000002,0.0,0.0,-359.35,889.6800000000002,121.47,-193.02,892.3,0.0,0.0,-60.36000000000002,-62.22000000000003,109.23,-70.91,2.500000000000057,0.0,0.0,-10.050000000000011,9.059999999999944,81.26999999999998,-259.8,266.46,0.0,0.0,-191.24999999999997,-29.07,-285.54,NO,2019-07-09 09:33:13.345,1900.0
